Brand,CPU,CPU_BRAND,RAM(GB),RAM_TYPE,GPU,SSD(GB),HDD(GB),USD,,Summary Statistics,
Acer,Intel Core i3 (11th Gen),Intel,8,DDR4,Integrated,256,0,323.99,,,
Acer,Intel Core i3 (6th Gen),Intel,4,DDR3,HD 520,0,500,323.99,,,
Lenovo,Intel Celeron Dual-Core,Intel,8,DDR4,UHD 600,256,0,323.99,,,
ASUS,Intel Core i3 (10th Gen),Intel,8,DDR4,UHD,0,1024,324.47,,,
Dell,AMD Dual-Core Ryzen 3,AMD,8,DDR4,Radeon,256,0,325.57,,,
Lenovo,AMD Dual-Core A9 APU,AMD,4,DDR4,Radeon R5,0,500,325.86,,,
HP,AMD Dual-Core Athlon,AMD,4,DDR4,Radeon Vega 3,0,1024,326.34,,,
HP,AMD Quad-Core A8 APU,AMD,4,DDR3,Radeon R5,0,1024,326.7,,,
Dell,AMD Dual-Core A9 APU,AMD,4,DDR4,Radeon R5,0,1024,327.05,,,
HP,AMD Quad-Core Ryzen 3,AMD,8,DDR4,Radeon,512,0,328.68,,,
Lenovo,AMD Quad-Core Ryzen 3,AMD,8,DDR4,Radeon,512,0,329.88,,,
HP,AMD Dual-Core Ryzen 3,AMD,4,DDR4,Radeon Vega 3,0,1024,329.88,,,
Infinix,Intel Core i3 (10th Gen),Intel,8,LPDDR4X,UHD,256,0,329.88,,,
Lenovo,Intel Celeron Dual-Core,Intel,4,DDR4,UHD,256,0,329.88,,,
ASUS,Intel Core i3 (7th Gen),Intel,4,DDR4,HD 620,0,1024,329.88,,,
Acer,AMD Dual-Core Athlon,AMD,8,DDR4,Radeon,256,0,332.28,,,
HP,Intel Pentium Gold,Intel,4,DDR4,HD 610,0,1024,332.92,,,
Acer,Intel Core i3 (10th Gen),Intel,4,DDR4,UHD,512,0,333.3,,,
Acer,Intel Core i3 (10th Gen),Intel,4,DDR4,UHD,512,0,333.3,,,
Infinix,Intel Core i3 (10th Gen),Intel,8,DDR4,UHD,512,0,333.48,,,
HP,Intel Celeron Dual-Core,Intel,8,DDR4,UHD,256,0,334.5,,,
Dell,Intel Core i3 (6th Gen),Intel,4,DDR4,HD 520,0,1024,334.61,,,
ASUS,Intel Celeron Dual-Core,Intel,4,DDR4,UHD 600,0,1024,334.67,,,
Lenovo,Intel Celeron Dual-Core,Intel,8,DDR4,UHD 600,256,0,334.68,,,
Infinix,Intel Core i3 (10th Gen),Intel,8,LPDDR4X,UHD,512,0,335.88,,,
Acer,Intel Core i3 (11th Gen),Intel,8,DDR4,UHD,512,0,335.88,,,
HP,AMD Dual-Core Ryzen 3,AMD,8,DDR4,Radeon,256,0,335.88,,,
Lenovo,AMD Quad-Core Ryzen 3,AMD,8,LPDDR5,Radeon,512,0,335.88,,,
Acer,Intel Core i3 (12th Gen),Intel,8,DDR4,UHD,256,0,335.88,,,
Infinix,Intel Core i3 (10th Gen),Intel,8,LPDDR4X,UHD,256,0,335.88,,,
ASUS,Intel Pentium Gold,Intel,8,DDR4,UHD,512,0,335.88,,,
HP,Intel Celeron Dual-Core,Intel,8,DDR4,UHD,512,0,335.88,,,
Dell,Intel Core i3 (6th Gen),Intel,4,DDR4,HD 520,0,1024,335.88,,,
HP,Intel Core i3 (8th Gen),Intel,4,DDR4,UHD 620,0,1024,335.88,,,
ASUS,Intel Core i3 (10th Gen),Intel,4,DDR4,UHD,0,1024,335.88,,,
Infinix,Intel Core i5 (11th Gen),Intel,16,LPDDR4X,UHD,512,0,335.88,,,
ASUS,AMD Quad-Core Ryzen 5,AMD,8,DDR4,Radeon Vega 8,512,0,335.88,,,
HP,AMD Dual-Core Athlon,AMD,4,DDR4,Radeon,0,1024,335.88,,,
Lenovo,AMD Dual-Core Ryzen 3,AMD,4,DDR4,Radeon Vega 3,0,1024,335.88,,,
Lenovo,Intel Core i3 (7th Gen),Intel,4,DDR4,HD 620,0,1024,335.88,,,
HP,AMD Dual-Core Ryzen 3,AMD,8,DDR4,Radeon,0,1024,335.88,,,
ASUS,AMD Quad-Core A12 APU,AMD,8,DDR4,Radeon R7,512,0,335.88,,,
Dell,Intel Core i3 (6th Gen),Intel,4,DDR3,HD,0,1024,335.88,,,
Lenovo,AMD Dual-Core Athlon,AMD,4,DDR4,Radeon,256,0,335.88,,,
ASUS,Intel Core i3 (6th Gen),Intel,4,DDR4,HD 520,0,1024,335.88,,,
HP,Intel Core i3 (6th Gen),Intel,4,DDR4,HD 620,0,1024,335.88,,,
ASUS,Intel Pentium Quad-Core,Intel,4,DDR4,UHD 605,256,0,335.88,,,
Acer,Intel Core i3 (11th Gen),Intel,8,DDR4,UHD,256,0,335.88,,,
ASUS,Intel Pentium Quad-Core,Intel,8,DDR4,UHD,256,0,335.88,,,
